enrollment_id,student_id,course_id,enrolled_on,completion_status,payment_id
1,12502,558,2020-04-24,completed,1
2,5925,596,2012-08-12,completed,2
3,3059,790,2011-03-15,completed,3
4,8405,205,2018-04-04,dropped,4
5,1501,186,2009-09-22,completed,5
6,74,218,2017-07-23,completed,6
7,5078,772,2011-06-24,completed,7
8,16835,230,2013-09-22,dropped,8
9,4264,595,2014-08-20,completed,9
10,16126,52,2014-12-04,completed,10
11,14361,472,2021-11-12,completed,11
12,10440,9,2017-10-19,completed,12
13,2493,583,2009-09-09,completed,13
14,11338,535,2009-08-04,completed,14
15,12794,844,2023-10-26,completed,15
16,17293,449,2024-03-25,dropped,16
17,12040,577,2013-12-30,completed,17
18,14955,671,2011-11-21,completed,18
19,2821,216,2024-12-19,completed,19
20,16523,304,2014-06-09,completed,20
21,3477,681,2013-07-10,completed,21
22,11353,222,2016-08-21,dropped,22
23,1638,180,2009-06-10,dropped,23
24,3269,3,2019-05-13,completed,24
25,4410,462,2020-12-18,completed,25
26,7246,886,2025-07-03,enrolled,26
27,8964,623,2015-03-09,completed,27
28,727,168,2008-09-26,dropped,28
29,12120,889,2025-05-26,enrolled,29
30,8692,748,2010-06-05,completed,30
31,9531,445,2009-08-23,completed,31
32,10108,38,2013-02-12,dropped,32
33,9230,139,2020-11-03,completed,33
34,13643,172,2011-07-30,completed,34
35,9642,197,2012-07-19,completed,35
36,9995,618,2014-05-17,completed,36
37,3838,68,2022-06-28,completed,37
38,10827,470,2011-05-26,completed,38
39,60,664,2025-03-12,enrolled,39
40,9729,369,2010-03-15,completed,40
41,1921,402,2022-12-12,dropped,41
42,8359,394,2023-10-17,completed,42
43,262,454,2019-08-04,completed,43
44,15792,756,2017-06-02,completed,44
45,3868,819,2013-10-15,dropped,45
46,479,658,2022-01-26,dropped,46
47,13595,163,2020-02-29,completed,47
48,13758,339,2022-03-10,completed,48
49,16919,68,2022-06-15,completed,49
50,16935,407,2012-06-26,completed,50
51,11287,225,2022-08-08,completed,51
52,12631,132,2023-02-18,completed,52
53,12330,678,2010-03-06,completed,53
54,15782,281,2021-04-03,completed,54
55,8297,539,2022-08-23,completed,55
56,10564,563,2014-04-22,completed,56
57,10863,190,2012-10-13,completed,57
58,4194,704,2017-02-23,completed,58
59,12464,612,2008-12-24,dropped,59
60,9292,692,2009-08-04,completed,60
61,1835,859,2025-07-06,enrolled,61
62,13983,715,2017-09-13,completed,62
63,14382,569,2011-09-13,completed,63
64,2416,806,2010-06-06,completed,64
65,15710,218,2017-07-31,completed,65
66,6415,126,2013-12-08,completed,66
67,3809,268,2024-06-25,completed,67
68,3964,893,2025-05-21,enrolled,68
69,2709,78,2012-02-04,completed,69
70,3281,295,2008-09-03,completed,70
71,4327,248,2018-07-09,completed,71
72,2860,303,2021-04-01,completed,72
73,14918,382,2008-06-28,completed,73
74,12966,437,2022-08-01,completed,74
75,1258,96,2010-05-22,completed,75
76,15427,716,2017-08-03,completed,76
77,9204,626,2013-06-23,completed,77
78,1874,908,2025-10-01,enrolled,78
79,9062,367,2022-07-13,completed,79
80,5071,121,2024-03-11,completed,80
81,4421,430,2018-10-31,completed,81
82,9101,131,2013-07-06,completed,82
83,14278,141,2011-03-15,completed,83
84,11146,269,2010-04-07,dropped,84
85,12144,718,2021-04-24,dropped,85
86,14133,783,2015-03-14,dropped,86
87,5487,194,2014-08-26,completed,87
88,11986,264,2020-03-09,completed,88
89,8935,760,2008-06-09,completed,89
90,14535,701,2013-01-13,completed,90
