grade_id,student_id,assessment_id,score,passed
1,12502,558,85.79,True
2,14204,558,57.52,False
3,12319,558,75.21,True
4,7203,558,74.54,True
5,6788,558,66.39,True
6,1966,558,68.52,True
7,3077,558,65.13,True
8,14704,558,68.23,True
9,12462,558,85.51,True
10,11005,558,88.28,True
11,16794,558,76.84,True
12,13660,558,80.95,True
13,7244,558,72.66,True
14,10667,558,99.06,True
15,3032,558,75.88,True
16,1658,558,72.49,True
17,6923,558,80.16,True
18,15192,558,93.39,True
19,6233,558,80.13,True
20,2108,558,75.47,True
21,11593,558,64.83,True
22,7649,558,77.77,True
23,12230,558,78.28,True
24,13286,558,73.54,True
25,2691,558,100.0,True
26,5925,596,84.67,True
27,7206,596,82.11,True
28,14361,596,70.83,True
29,12749,596,84.24,True
30,9908,596,78.38,True
31,3503,596,79.96,True
32,3871,596,100.0,True
33,17328,596,100.0,True
34,17237,596,79.65,True
35,4081,596,71.56,True
36,7748,596,81.78,True
37,15073,596,63.18,True
38,573,596,87.12,True
39,14672,596,96.04,True
40,10844,596,78.4,True
41,3479,596,75.7,True
42,12329,596,85.02,True
43,70,596,77.12,True
44,16969,596,84.89,True
45,3168,596,87.13,True
46,11365,596,77.04,True
47,4455,596,94.4,True
48,6454,596,84.67,True
49,12853,596,57.81,False
50,4382,596,76.14,True
51,3365,596,91.46,True
52,9118,596,77.96,True
53,11264,596,88.79,True
54,8833,596,78.76,True
55,3059,790,81.11,True
56,2806,790,92.5,True
57,11437,790,93.0,True
58,809,790,73.05,True
59,8137,790,67.12,True
60,12956,790,78.61,True
61,8055,790,68.46,True
62,12063,790,72.52,True
63,5599,790,93.55,True
64,5266,790,69.25,True
65,13663,790,82.0,True
66,12608,790,100.0,True
67,9040,790,88.96,True
68,15265,790,91.56,True
69,5297,790,77.37,True
70,10723,790,67.11,True
71,14291,790,60.14,True
72,3735,790,75.5,True
73,1904,790,75.94,True
74,5820,790,100.0,True
75,1906,790,43.17,False
76,17250,790,90.89,True
77,10432,790,88.92,True
78,8405,205,92.26,True
79,5902,205,77.36,True
80,4336,205,86.13,True
81,421,205,79.1,True
82,9799,205,77.33,True
83,15441,205,93.42,True
84,1909,205,48.76,False
85,14481,205,82.93,True
86,1300,205,71.53,True
87,6041,205,81.66,True
88,7169,205,82.44,True
89,6362,205,94.12,True
90,14993,205,65.69,True
91,9780,205,63.03,True
92,4267,205,57.68,False
93,8804,205,80.43,True
94,11966,205,87.94,True
95,9863,205,84.18,True
96,1285,205,74.18,True
97,1781,205,81.53,True
98,9848,205,70.97,True
99,6763,205,87.84,True
100,1940,205,86.95,True
101,14376,205,75.78,True
102,7100,205,80.38,True
103,2715,205,69.1,True
104,1501,186,64.93,True
105,15185,186,84.93,True
106,11346,186,86.59,True
107,11329,186,85.21,True
108,4021,186,57.19,False
109,4672,186,83.25,True
110,1695,186,66.22,True
111,11595,186,76.12,True
112,4424,186,65.82,True
113,6716,186,70.48,True
114,1487,186,71.0,True
115,9524,186,74.18,True
116,9625,186,68.89,True
117,10872,186,100.0,True
118,9131,186,78.44,True
119,5637,186,60.1,True
120,912,186,61.32,True
121,14124,186,89.16,True
122,7126,186,89.43,True
123,10919,186,50.34,False
124,74,218,65.98,True
125,15710,218,67.72,True
126,6606,218,67.6,True
127,8871,218,72.51,True
128,882,218,73.89,True
129,14400,218,71.17,True
130,7433,218,100.0,True
131,8675,218,71.45,True
132,3243,218,75.6,True
133,9939,218,86.2,True
134,2194,218,78.31,True
135,10702,218,93.68,True
136,12470,218,66.66,True
137,12748,218,62.7,True
138,16761,218,73.38,True
139,2337,218,85.4,True
140,12817,218,75.79,True
141,933,218,81.6,True
142,8481,218,70.1,True
143,14533,218,63.31,True
144,8332,218,80.24,True
145,4978,218,82.68,True
146,13303,218,87.58,True
147,6643,218,78.25,True
148,5078,772,76.54,True
149,10660,772,78.28,True
150,6821,772,67.48,True
151,15662,772,82.01,True
152,2302,772,81.23,True
153,11189,772,86.94,True
154,134,772,79.62,True
155,16695,772,100.0,True
156,12328,772,71.21,True
157,14411,772,96.37,True
158,6858,772,73.96,True
159,7328,772,84.43,True
160,16953,772,80.36,True
161,5275,772,81.53,True
162,9192,772,88.34,True
163,8728,772,87.52,True
164,8719,772,73.5,True
165,10838,772,68.55,True
166,11396,772,76.45,True
167,9846,772,52.57,False
168,16949,772,62.97,True
169,16835,230,68.39,True
170,13748,230,63.28,True
171,14081,230,84.4,True
172,3026,230,80.06,True
173,1000,230,71.84,True
174,8571,230,80.45,True
175,707,230,87.11,True
176,11913,230,72.83,True
177,7305,230,63.39,True
178,6498,230,90.53,True
179,489,230,80.18,True
180,11568,230,84.17,True
181,6360,230,69.97,True
182,13898,230,81.82,True
183,10223,230,66.46,True
184,6425,230,68.47,True
185,13619,230,100.0,True
186,9378,230,79.27,True
187,10655,230,81.9,True
188,8145,230,77.82,True
189,4264,595,100.0,True
190,15322,595,72.91,True
191,11724,595,60.77,True
192,4863,595,71.76,True
193,4661,595,94.2,True
194,3044,595,89.71,True
195,9482,595,64.8,True
196,8742,595,100.0,True
197,9848,595,82.06,True
198,17273,595,67.26,True
199,8441,595,59.96,False
200,8017,595,98.63,True
201,13155,595,82.76,True
202,10772,595,77.25,True
203,16126,52,71.51,True
204,5161,52,73.01,True
205,4982,52,72.93,True
206,10695,52,98.61,True
207,6463,52,88.64,True
208,12605,52,78.71,True
209,763,52,100.0,True
210,2628,52,95.72,True
211,5160,52,100.0,True
212,17444,52,59.42,False
213,6326,52,70.76,True
214,7377,52,75.36,True
215,17567,52,77.49,True
216,13005,52,78.35,True
217,1897,52,87.46,True
218,10904,52,82.65,True
219,3096,52,96.58,True
220,178,52,68.47,True
221,12687,52,78.74,True
222,16604,52,74.42,True
223,3582,52,84.43,True
224,13031,52,88.76,True
225,4761,52,94.37,True
226,14361,472,80.21,True
227,15823,472,68.57,True
228,17233,472,47.31,False
229,16040,472,74.33,True
230,10740,472,77.55,True
231,9822,472,66.19,True
232,2993,472,79.71,True
233,6227,472,96.91,True
234,3720,472,67.07,True
235,842,472,96.71,True
236,11432,472,87.71,True
237,10847,472,80.41,True
238,8640,472,88.35,True
239,4660,472,84.02,True
240,8484,472,86.98,True
241,7811,472,99.14,True
242,12844,472,44.95,False
243,2726,472,92.34,True
244,5710,472,89.05,True
245,14154,472,67.03,True
246,6377,472,87.98,True
247,10440,9,50.27,False
248,15062,9,71.86,True
249,4579,9,73.68,True
250,5022,9,67.35,True
251,17462,9,70.67,True
252,16220,9,85.39,True
253,11621,9,90.88,True
254,4283,9,83.35,True
255,14327,9,84.21,True
256,13179,9,68.35,True
257,2670,9,61.23,True
258,10767,9,79.76,True
259,14404,9,52.79,False
260,16811,9,80.8,True
261,8525,9,94.63,True
262,11654,9,97.36,True
263,2914,9,100.0,True
264,10908,9,76.67,True
265,2208,9,74.05,True
266,11345,9,75.85,True
267,14134,9,96.89,True
268,1742,9,85.71,True
269,152,9,67.64,True
270,1888,9,68.16,True
271,6866,9,65.2,True
272,15816,9,91.53,True
273,8214,9,57.64,False
274,974,9,76.97,True
275,2493,583,63.1,True
276,3121,583,69.42,True
277,17016,583,86.21,True
278,10214,583,79.6,True
279,17503,583,62.62,True
280,7440,583,76.93,True
281,3433,583,74.83,True
282,13864,583,86.54,True
283,4499,583,54.21,False
284,16219,583,91.25,True
285,16491,583,87.61,True
286,17496,583,80.75,True
287,11338,535,100.0,True
288,4402,535,80.35,True
289,1841,535,70.32,True
290,7746,535,79.63,True
291,6574,535,80.31,True
