payment_id,student_id,amount,payment_date,payment_method
1,12502,426.91,2020-04-24,Credit Card
2,5925,217.25,2012-08-07,Bank Transfer
3,3059,132.96,2011-03-11,Bank Transfer
4,8405,259.92,2018-04-01,Bank Transfer
5,1501,528.73,2009-09-17,Bank Transfer
6,74,131.87,2017-07-21,PayPal
7,5078,562.55,2011-06-23,PayPal
8,16835,666.59,2013-09-18,Bank Transfer
9,4264,679.94,2014-08-19,PayPal
10,16126,614.73,2014-12-01,Bank Transfer
11,14361,881.07,2021-11-09,Bank Transfer
12,10440,688.07,2017-10-18,Cash
13,2493,115.98,2009-09-06,Cash
14,11338,768.28,2009-08-01,PayPal
15,12794,381.1,2023-10-23,PayPal
16,17293,121.47,2024-03-21,Credit Card
17,12040,816.71,2013-12-27,PayPal
18,14955,174.91,2011-11-17,PayPal
19,2821,780.82,2024-12-15,Cash
20,16523,357.56,2014-06-07,Bank Transfer
21,3477,132.3,2013-07-07,Cash
22,11353,839.33,2016-08-20,Bank Transfer
23,1638,258.03,2009-06-07,Cash
24,3269,360.66,2019-05-13,Bank Transfer
25,4410,459.4,2020-12-18,Cash
26,7246,404.8,2025-06-28,PayPal
27,8964,140.78,2015-03-06,Bank Transfer
28,727,147.07,2008-09-26,Bank Transfer
29,12120,573.12,2025-05-22,Cash
30,8692,888.15,2010-06-05,Cash
31,9531,863.09,2009-08-19,PayPal
32,10108,320.75,2013-02-08,PayPal
33,9230,165.25,2020-11-03,Credit Card
34,13643,842.0,2011-07-29,Bank Transfer
35,9642,746.42,2012-07-14,Cash
36,9995,238.6,2014-05-12,Credit Card
37,3838,508.67,2022-06-26,Cash
38,10827,511.71,2011-05-25,Bank Transfer
39,60,344.66,2025-03-12,PayPal
40,9729,491.61,2010-03-12,Cash
41,1921,401.26,2022-12-11,Credit Card
42,8359,463.69,2023-10-14,Credit Card
43,262,671.48,2019-08-03,Bank Transfer
44,15792,541.73,2017-06-01,Cash
45,3868,728.42,2013-10-10,Credit Card
46,479,388.09,2022-01-26,PayPal
47,13595,566.38,2020-02-25,Cash
48,13758,498.93,2022-03-08,Credit Card
49,16919,508.67,2022-06-11,PayPal
50,16935,672.15,2012-06-24,Bank Transfer
51,11287,472.73,2022-08-08,Credit Card
52,12631,893.72,2023-02-14,Bank Transfer
53,12330,633.92,2010-03-06,Bank Transfer
54,15782,578.54,2021-03-31,Bank Transfer
55,8297,576.23,2022-08-19,Bank Transfer
56,10564,259.42,2014-04-19,Bank Transfer
57,10863,188.67,2012-10-08,Bank Transfer
58,4194,275.76,2017-02-23,PayPal
59,12464,705.75,2008-12-24,Cash
60,9292,789.5,2009-08-04,Cash
61,1835,125.24,2025-07-03,Bank Transfer
62,13983,836.76,2017-09-12,Credit Card
63,14382,163.49,2011-09-10,Bank Transfer
64,2416,402.69,2010-06-05,PayPal
65,15710,131.87,2017-07-27,Credit Card
66,6415,111.32,2013-12-06,Cash
67,3809,265.73,2024-06-22,Bank Transfer
68,3964,331.1,2025-05-20,Bank Transfer
69,2709,625.75,2012-01-31,Credit Card
70,3281,318.48,2008-09-01,Bank Transfer
71,4327,113.99,2018-07-05,Bank Transfer
72,2860,551.1,2021-03-27,Cash
